Sample,CountsFile,SRRfile ,Bioproject,Species,SpeciesSmaller,AgeSize,Tissue,Sample#,Species_Signal_Duration_In_ms
com100,Cco_com100_EO_adult_1_htseqcounts_revstranded.txt,SRR25630409,PRJNA1005244,Campylomormyruscompressirostris,Cco,adult,EO,1,0.4
com101,Cco_com101_EO_adult_1_htseqcounts_revstranded.txt,SRR25630408,PRJNA1005244,Campylomormyruscompressirostris,Cco,adult,EO,1,0.4
com102,Cco_com102_EO_adult_1_htseqcounts_revstranded.txt,SRR25630407,PRJNA1005244,Campylomormyruscompressirostris,Cco,adult,EO,1,0.4
com103,Cco_com103_EO_adult_1_htseqcounts_revstranded.txt,SRR25630406,PRJNA1005244,Campylomormyruscompressirostris,Cco,adult,EO,1,0.4
com104,Cco_com104_EO_6cm_1_htseqcounts_revstranded.txt,SRR25630312,PRJNA1005245,Campylomormyruscompressirostris,Cco,6cm,EO,1,0.4
com12,Cco_com12_SM_adult_1_htseqcounts_revstranded.txt,SRR25630373,PRJNA1005244,Campylomormyruscompressirostris,Cco,adult,SM,1,0.4
com121,Cco_com121_EO_6cm_1_htseqcounts_revstranded.txt,SRR25630311,PRJNA1005245,Campylomormyruscompressirostris,Cco,6cm,EO,1,0.4
com123,Cco_com123_EO_6cm_1_htseqcounts_revstranded.txt,SRR25630309,PRJNA1005245,Campylomormyruscompressirostris,Cco,6cm,EO,1,0.4
com124,Cco_com124_EO_6cm_1_htseqcounts_revstranded.txt,SRR25630307,PRJNA1005245,Campylomormyruscompressirostris,Cco,6cm,EO,1,0.4
com125,Cco_com125_EO_6cm_1_htseqcounts_revstranded.txt,SRR25630305,PRJNA1005245,Campylomormyruscompressirostris,Cco,6cm,EO,1,0.4
com13,Cco_com13_SM_adult_1_htseqcounts_revstranded.txt,SRR25630370,PRJNA1005244,Campylomormyruscompressirostris,Cco,adult,SM,1,0.4
com14,Cco_com14_SM_adult_1_htseqcounts_revstranded.txt,SRR25630368,PRJNA1005244,Campylomormyruscompressirostris,Cco,adult,SM,1,0.4
com15,Cco_com15_SM_adult_1_htseqcounts_revstranded.txt,SRR25630366,PRJNA1005244,Campylomormyruscompressirostris,Cco,adult,SM,1,0.4
com97,Cco_com97_EO_adult_1_htseqcounts_revstranded.txt,SRR25630410,PRJNA1005244,Campylomormyruscompressirostris,Cco,adult,EO,1,0.4
comrhy110,CcoxCrh_comrhy110_EO_adult_1_htseqcounts_revstranded.txt,SRR25630384,PRJNA1005244,CampylomormyruscompressirostrisxCampylomormyrusrhynchophorus,CcoxCrh,adult,EO,1,4
comrhy111,CcoxCrh_comrhy111_EO_adult_1_htseqcounts_revstranded.txt,SRR25630382,PRJNA1005244,CampylomormyruscompressirostrisxCampylomormyrusrhynchophorus,CcoxCrh,adult,EO,1,4
comrhy112,CcoxCrh_comrhy112_EO_adult_1_htseqcounts_revstranded.txt,SRR25630380,PRJNA1005244,CampylomormyruscompressirostrisxCampylomormyrusrhynchophorus,CcoxCrh,adult,EO,1,4
comrhy113,CcoxCrh_comrhy113_EO_adult_1_htseqcounts_revstranded.txt,SRR25630378,PRJNA1005244,CampylomormyruscompressirostrisxCampylomormyrusrhynchophorus,CcoxCrh,adult,EO,1,4
comrhy114,CcoxCrh_comrhy114_EO_adult_1_htseqcounts_revstranded.txt,SRR25630376,PRJNA1005244,CampylomormyruscompressirostrisxCampylomormyrusrhynchophorus,CcoxCrh,adult,EO,1,4
comrhy28,CcoxCrh_comrhy28_SM_adult_1_htseqcounts_revstranded.txt,SRR25630342,PRJNA1005244,CampylomormyruscompressirostrisxCampylomormyrusrhynchophorus,CcoxCrh,adult,SM,1,4
comrhy29,CcoxCrh_comrhy29_SM_adult_1_htseqcounts_revstranded.txt,SRR25630340,PRJNA1005244,CampylomormyruscompressirostrisxCampylomormyrusrhynchophorus,CcoxCrh,adult,SM,1,4
